id,created_at,updated_at,course_id,place_id,user_id
406,2023-11-29 09:51:44.589162,2023-11-29 09:51:44.589192,,41,28
407,2023-11-29 09:51:48.215559,2023-11-29 09:51:48.215593,,928,22
408,2023-11-29 09:51:58.588352,2023-11-29 09:51:58.588381,,990,29
409,2023-11-29 09:51:58.902442,2023-11-29 09:51:58.902472,,1715,22
410,2023-11-29 09:52:20.382900,2023-11-29 09:52:20.382931,,1188,29
411,2023-11-29 09:52:21.623638,2023-11-29 09:52:21.623670,,1473,22
412,2023-11-29 09:52:25.978663,2023-11-29 09:52:25.978696,,687,28
413,2023-11-29 09:52:37.033645,2023-11-29 09:52:37.033678,,658,28
414,2023-11-29 09:52:50.185720,2023-11-29 09:52:50.185753,,714,32
415,2023-11-29 09:53:02.226057,2023-11-29 09:53:02.226092,,1797,32
416,2023-11-29 09:53:17.519635,2023-11-29 09:53:17.519667,,210,32
417,2023-11-29 09:53:24.220235,2023-11-29 09:53:24.220264,,1002,29
418,2023-11-29 09:53:27.080825,2023-11-29 09:53:27.080858,,755,28
419,2023-11-29 09:54:03.842003,2023-11-29 09:54:03.842033,,645,33
422,2023-11-29 09:54:09.943686,2023-11-29 09:54:09.943719,,635,32
424,2023-11-29 09:54:16.194931,2023-11-29 09:54:16.194962,,655,33
425,2023-11-29 09:54:19.033579,2023-11-29 09:54:19.033608,,657,33
426,2023-11-29 09:54:20.989712,2023-11-29 09:54:20.989743,,661,33
427,2023-11-29 09:54:22.485713,2023-11-29 09:54:22.485746,,662,33
428,2023-11-29 09:54:24.346815,2023-11-29 09:54:24.346848,,669,33
429,2023-11-29 09:54:24.782612,2023-11-29 09:54:24.782641,,1797,34
430,2023-11-29 09:54:26.707218,2023-11-29 09:54:26.707248,,1557,29
431,2023-11-29 09:54:27.197722,2023-11-29 09:54:27.197750,,234,34
432,2023-11-29 09:54:28.603572,2023-11-29 09:54:28.603601,,691,33
433,2023-11-29 09:54:30.386810,2023-11-29 09:54:30.386842,,707,33
434,2023-11-29 09:54:34.827151,2023-11-29 09:54:34.827179,,742,33
435,2023-11-29 09:54:42.699040,2023-11-29 09:54:42.699070,,1033,20
436,2023-11-29 09:54:45.856233,2023-11-29 09:54:45.856267,,235,34
437,2023-11-29 09:54:50.579548,2023-11-29 09:54:50.579579,,1514,34
438,2023-11-29 09:54:54.026285,2023-11-29 09:54:54.026318,,1722,34
439,2023-11-29 09:54:54.883378,2023-11-29 09:54:54.883410,,230,34
440,2023-11-29 09:54:58.818815,2023-11-29 09:54:58.818848,,1625,34
441,2023-11-29 09:54:59.647871,2023-11-29 09:54:59.647903,,1415,20
442,2023-11-29 09:55:02.519369,2023-11-29 09:55:02.519403,,1341,32
443,2023-11-29 09:55:07.087819,2023-11-29 09:55:07.087854,,1644,32
445,2023-11-29 09:55:21.150477,2023-11-29 09:55:21.150509,,227,34
446,2023-11-29 09:55:21.560806,2023-11-29 09:55:21.560839,,1764,20
447,2023-11-29 09:55:24.513732,2023-11-29 09:55:24.513762,,207,34
448,2023-11-29 09:55:26.906513,2023-11-29 09:55:26.906548,,635,33
449,2023-11-29 09:55:31.216135,2023-11-29 09:55:31.216167,,1420,34
450,2023-11-29 09:55:32.235933,2023-11-29 09:55:32.235965,,1791,20
451,2023-11-29 09:55:34.171457,2023-11-29 09:55:34.171489,,1813,32
452,2023-11-29 09:55:38.446347,2023-11-29 09:55:38.446378,,1808,20
453,2023-11-29 09:55:43.998129,2023-11-29 09:55:43.998161,,1839,20
455,2023-11-29 09:55:50.592980,2023-11-29 09:55:50.593010,,1861,20
456,2023-11-29 09:56:20.765871,2023-11-29 09:56:20.765903,,1722,35
457,2023-11-29 09:56:22.898378,2023-11-29 09:56:22.898408,,744,20
458,2023-11-29 09:56:24.361623,2023-11-29 09:56:24.361654,,234,35
460,2023-11-29 09:56:35.785693,2023-11-29 09:56:35.785729,,1810,32
461,2023-11-29 09:56:41.161891,2023-11-29 09:56:41.161923,,235,32
462,2023-11-29 09:56:55.655272,2023-11-29 09:56:55.655304,,1190,20
463,2023-11-29 09:56:59.962673,2023-11-29 09:56:59.962705,,773,32
464,2023-11-29 09:57:03.823124,2023-11-29 09:57:03.823154,,1271,20
465,2023-11-29 09:57:06.639098,2023-11-29 09:57:06.639130,,1371,20
466,2023-11-29 09:57:09.326614,2023-11-29 09:57:09.326646,,1395,20
467,2023-11-29 09:57:11.368562,2023-11-29 09:57:11.368593,,1485,20
468,2023-11-29 09:57:26.172602,2023-11-29 09:57:26.172632,,673,36
469,2023-11-29 09:57:28.361880,2023-11-29 09:57:28.361910,,690,36
470,2023-11-29 09:57:31.228611,2023-11-29 09:57:31.228642,,713,36
471,2023-11-29 09:57:35.639297,2023-11-29 09:57:35.639327,,962,36
472,2023-11-29 09:57:37.456619,2023-11-29 09:57:37.456650,,8,20
473,2023-11-29 09:57:37.645587,2023-11-29 09:57:37.645616,,993,36
474,2023-11-29 09:57:39.687892,2023-11-29 09:57:39.687923,,1091,36
475,2023-11-29 09:57:41.162404,2023-11-29 09:57:41.162436,,13,20
476,2023-11-29 09:57:45.481928,2023-11-29 09:57:45.481959,,205,36
477,2023-11-29 09:57:48.537534,2023-11-29 09:57:48.537561,,213,36
478,2023-11-29 09:57:49.207802,2023-11-29 09:57:49.207832,,214,36
479,2023-11-29 09:57:51.217816,2023-11-29 09:57:51.217846,,216,36
480,2023-11-29 09:57:55.019791,2023-11-29 09:57:55.019821,,224,36
481,2023-11-29 09:57:56.533348,2023-11-29 09:57:56.533377,,229,36
482,2023-11-29 09:57:57.264032,2023-11-29 09:57:57.264063,,230,36
483,2023-11-29 09:58:04.808577,2023-11-29 09:58:04.808606,,633,36
484,2023-11-29 09:58:14.484578,2023-11-29 09:58:14.484611,,668,36
485,2023-11-29 09:58:17.389156,2023-11-29 09:58:17.389185,,687,36
